Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
1,Hands,First Edition,Base Set,Fire,,135,Jerry Rice,0,
2,Joe Cool,First Edition,Base Set,Fire,,135,Joe Montana,0,
3,Merlomes,Tecmo Bowl,Base Set,Fire,,135,Patrick Mahomes,0,
4,Dart-Board,Tecmo Bowl,Base Set,Fire,,135,Jaxson Dart,0,
5,Bison,Tecmo Bowl,Base Set,Fire,,135,Josh Allen,0,
6,Warp,Tecmo Bowl,Base Set,Fire,,135,Lamar Jackson,0,
7,Bayou,Tecmo Bowl,Base Set,Fire,,130,Ja'Marr Chase,0,
8,J-Jetts,Tecmo Bowl,Base Set,Fire,,130,Justin Jefferson,0,
9,Reindeer Hunter,First Edition,Base Set,Fire,,130,Myles Garrett,0,
10,Swervin’,First Edition,Base Set,Fire,,130,Michael Irvin,0,
11,MoD,First Edition,Base Set,Fire,,130,Reggie White,0,
12,Quads,First Edition,Base Set,Fire,,130,Saquon Barkley,0,
13,Darn Old,First Edition,Base Set,Fire,,125,Sam Darnold,0,
14,Phoenix,Tecmo Bowl,Base Set,Fire,,125,Bo Nix,0,
15,Jax-In-the-Box,First Edition,Base Set,Fire,,125,Jaxon Smith-Njigba,0,
16,Eagle-Eye,Tecmo Bowl,Base Set,Fire,,125,Jalen Hurts,0,
17,Shrouded,Tecmo Bowl,Base Set,Fire,,125,C.J. Stroud,0,
18,Myracle,First Edition,Base Set,Fire,,125,Jahmyr Gibbs,0,
19,Skatter,First Edition,Base Set,Fire,,120,Cam Skattebo,0,
20,Warden,Tecmo Bowl,Base Set,Fire,,120,Cam Ward,0,
21,Yeti,Tecmo Bowl,Base Set,Fire,,120,Travis Kelce,0,
22,BrockNess,Tecmo Bowl,Base Set,Fire,,120,Brock Bowers,0,
23,McArmyKnife,Tecmo Bowl,Base Set,Fire,,120,Christian McCaffrey,0,
24,Muffin Man,First Edition,Base Set,Fire,,120,Baker Mayfield,0,
25,Youngblood,First Edition,Base Set,Fire,,115,Bryce Young,0,
26,Switchblade,Tecmo Bowl,Base Set,Fire,,115,Travis Hunter,0,
27,McVillain,First Edition,Base Set,Fire,,115,Tetairoa McMillan,0,
28,Quarter Staff,First Edition,Base Set,Fire,,115,Matthew Stafford,0,
29,Judkernaught,First Edition,Base Set,Fire,,115,Quinshon Judkins,0,
30,Jeanetic,Tecmo Bowl,Base Set,Fire,,115,Ashton Jeanty,0,
31,Coinslot,First Edition,Base Set,Fire,,110,Daniel Jones,0,
32,Chanesaw,First Edition,Base Set,Fire,,110,Devon Achane,0,
33,Mr. Irrelevant,Tecmo Bowl,Base Set,Fire,,110,Brock Purdy,0,
34,Shadowstrike,First Edition,Base Set,Fire,,110,Davante Adams,0,
35,Shepherd,Tecmo Bowl,Base Set,Fire,,110,CeeDee Lamb,0,
36,Scary,Tecmo Bowl,Base Set,Fire,,110,Terry McLaurin,0,
37,Lawman,Tecmo Bowl,Base Set,Fire,,105,Trevor Lawrence,0,
38,Buttman,First Edition,Base Set,Fire,,105,Marion Butts,0,
39,Criscross,First Edition,Base Set,Fire,,105,Cris Carter,0,
40,Rockhead,First Edition,Base Set,Fire,,105,Chris Doleman,0,
41,Brawn,Tecmo Bowl,Base Set,Fire,,105,A.J. Brown,0,
42,DeVaulta,First Edition,Base Set,Fire,,105,DeVonta Smith,0,
43,Hot Sauce,First Edition,Base Set,Fire,,100,Sauce Gardener,0,
44,First Leap,First Edition,Base Set,Fire,,100,LeRoy Butler,0,
45,Friday,First Edition,Base Set,Fire,,100,Deebo Samuel,0,
46,Barreler,Tecmo Bowl,Base Set,Fire,,100,Cooper Kupp,0,
47,Watterslide,First Edition,Base Set,Fire,,100,Ricky Watters,0,
